tese,hook,codigo,nome_tese,copy,arquivo_base
"1","1","saber","Saber no es el problema","Sabes perfectamente qué deberías comer. Entonces, ¿por qué no consigues mantenerlo?","01-01-saber-sabes-perfectamente-que-deberias-comer-entonce"
"1","2","saber","Saber no es el problema","Si saber qué comer fuese suficiente, ya lo habrías solucionado.","01-02-saber-si-saber-que-comer-fuese-suficiente-ya-lo-habr"
"1","3","saber","Saber no es el problema","No necesitas otra dieta. Necesitas entender qué pasa antes de romperla.","01-03-saber-no-necesitas-otra-dieta-necesitas-entender-que"
"1","4","saber","Saber no es el problema","Tienes la información. Lo difícil ocurre unos minutos antes de comer.","01-04-saber-tienes-la-informacion-lo-dificil-ocurre-unos-m"
"1","5","saber","Saber no es el problema","El problema no es lo que sabes. Es lo que pasa cuando llega el impulso.","01-05-saber-el-problema-no-es-lo-que-sabes-es-lo-que-pasa-"
"2","1","hambre","Comer sin hambre","No tienes hambre. Pero vuelves a abrir la nevera.","02-01-hambre-no-tienes-hambre-pero-vuelves-a-abrir-la-never"
"2","2","hambre","Comer sin hambre","Si no tienes hambre, ¿por qué sigues pensando en comer?","02-02-hambre-si-no-tienes-hambre-por-que-sigues-pensando-en"
"2","3","hambre","Comer sin hambre","¿Por qué comes cuando sabes que no tienes hambre?","02-03-hambre-por-que-comes-cuando-sabes-que-no-tienes-hambr"
"2","4","hambre","Comer sin hambre","Tu cuerpo dice que no. El impulso dice otra cosa.","02-04-hambre-tu-cuerpo-dice-que-no-el-impulso-dice-otra-cos"
"2","5","hambre","Comer sin hambre","La nevera está abierta. El hambre no.","02-05-hambre-la-nevera-esta-abierta-el-hambre-no"
"3","1","voluntad","Fuerza de voluntad","No necesitas más fuerza de voluntad.","03-01-voluntad-no-necesitas-mas-fuerza-de-voluntad"
"3","2","voluntad","Fuerza de voluntad","Quizá nunca te faltó fuerza de voluntad.","03-02-voluntad-quiza-nunca-te-falto-fuerza-de-voluntad"
"3","3","voluntad","Fuerza de voluntad","Cuanto más intentas controlarte, más difícil parece.","03-03-voluntad-cuanto-mas-intentas-controlarte-mas-dificil-pa"
"3","4","voluntad","Fuerza de voluntad","Controlarte más no te está ayudando a entenderte mejor.","03-04-voluntad-controlarte-mas-no-te-esta-ayudando-a-entender"
"3","5","voluntad","Fuerza de voluntad","Si fuese falta de voluntad, ¿por qué solo ocurre en ciertos momentos?","03-05-voluntad-si-fuese-falta-de-voluntad-por-que-solo-ocurre"
"4","1","picar","El picoteo empieza antes","Dices que solo vas a picar algo. Y cuando te das cuenta, ya has vuelto a hacerlo.","04-01-picar-dices-que-solo-vas-a-picar-algo-y-cuando-te-da"
"4","2","picar","El picoteo empieza antes","¿Por qué acabas picando aunque no tengas hambre?","04-02-picar-por-que-acabas-picando-aunque-no-tengas-hambre"
"4","3","picar","El picoteo empieza antes","El problema no empieza cuando comes. Empieza unos minutos antes.","04-03-picar-el-problema-no-empieza-cuando-comes-empieza-un"
"4","4","picar","El picoteo empieza antes","Antes del primer bocado ya estaba ocurriendo algo.","04-04-picar-antes-del-primer-bocado-ya-estaba-ocurriendo-a"
"4","5","picar","El picoteo empieza antes","No empieza en la despensa. Empieza en el momento anterior.","04-05-picar-no-empieza-en-la-despensa-empieza-en-el-moment"
"5","1","ansiedad","Ansiedad por comer","Cuando estás nerviosa, ¿te da por comer?","05-01-ansiedad-cuando-estas-nerviosa-te-da-por-comer"
"5","2","ansiedad","Ansiedad por comer","Hay días en los que no tienes hambre. Tienes ganas de calmar algo.","05-02-ansiedad-hay-dias-en-los-que-no-tienes-hambre-tienes-ga"
"5","3","ansiedad","Ansiedad por comer","La ansiedad no empieza en la cocina.","05-03-ansiedad-la-ansiedad-no-empieza-en-la-cocina"
"5","4","ansiedad","Ansiedad por comer","A veces no buscas comida. Buscas que el día se calle un momento.","05-04-ansiedad-a-veces-no-buscas-comida-buscas-que-el-dia-se-"
